mtime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
299,44171,23337,17349,10740,5248,43500,20946,37932,16644,20902,5327,11422,29687,45650,6605,20540,28482,16621,31193,7277,13448,12323,29336,32996,36070,48324,44394,4595,49876,39131
300,27105,24655,22716,1741,10172,44207,19104,41203,20195,41593,30868,43695,1584,40675,6611,41096,35823,4086,49749,30817,15664,4994,29449,43553,15220,19669,10779,15827,9312,8002
301,17463,5206,35378,10759,41512,22112,20500,12279,7982,2289,11832,6483,25014,5289,47939,37508,14991,47940,6397,15887,34321,33942,28079,46232,15226,16671,49255,25191,1627,13724
302,6567,20891,25309,29675,31591,20682,12271,23346,22470,29022,1897,11290,20669,7166,45159,38412,39473,30250,36699,16703,35902,22506,44336,19124,30248,34125,19356,3553,20044,34544
303,26652,17605,35345,33913,30105,10149,16224,42282,26401,12597,31109,1083,26066,11521,37651,39016,33361,12470,28712,13240,35559,41629,18597,2347,25087,18950,7274,42476,2763,7736
304,43059,49421,43866,32103,18443,1478,2467,44413,10588,21674,13021,8713,6978,35323,27799,38608,23265,27341,16793,48033,20012,6488,28164,2705,21841,30998,33935,42072,49583,2895
305,6964,31128,1717,29432,20343,19275,38590,31145,3938,26467,25010,9155,48920,4994,13783,17646,42194,11037,39123,26105,9484,30702,9256,35856,23346,18425,28830,47218,1641,26045
306,49017,6416,6372,29246,35271,48498,19951,13660,35208,17078,27593,23116,49458,46570,39247,25020,36279,1544,7283,1958,36819,19467,35183,12704,8423,26808,44354,15864,8146,38153
307,48125,35326,44925,42622,3069,21810,18364,44447,20671,36678,5927,47009,15419,18321,40910,26788,42775,33326,28081,36865,13840,2855,6605,41004,40408,33786,28747,42655,46194,44964
308,6344,26502,18241,16778,45757,5577,9045,26910,12595,43592,1487,37362,28424,26870,39584,35238,44110,35048,5774,40980,9194,32852,32609,41438,6105,35201,32210,45994,27001,21267
309,37407,2666,10387,36033,44641,11015,22933,4722,9845,46030,42728,4080,29318,48685,36812,40119,37402,27277,21747,22013,21903,44189,40647,24086,20176,17410,46491,8183,31437,8814
310,36816,3822,18208,49818,27128,9189,14240,11850,32965,38030,2149,30425,21202,7905,8993,31320,27921,9519,7832,8643,42822,46211,5834,36619,45718,24590,8462,38225,39159,1212
311,5752,49602,21367,14587,46970,40573,25858,36708,36034,29562,4590,30151,1460,31325,3035,9974,44253,42621,2263,28662,24322,2248,10855,11088,5805,11418,34458,20405,37547,16074
312,25978,32808,42199,27482,17232,20050,19037,35864,38487,12342,31663,29064,21771,18340,5396,41059,6294,4298,42832,46776,29399,34805,46331,37380,10622,35654,40758,47210,3115,22742
313,31918,24360,40345,11430,4794,39946,22931,8737,30165,44829,29516,34229,43397,36077,29186,17852,2192,5603,3696,49132,40099,45099,23398,8449,41932,7223,12258,39390,10164,48419
314,8917,20624,12332,11638,41159,5953,34383,28110,29027,48896,5295,46421,10588,36714,42671,40193,30737,7477,20256,21952,14842,13301,43215,38780,5652,23756,46673,16547,42897,17759
315,15271,43210,21336,3792,31515,43986,38363,22413,18487,2263,8556,38787,17090,16230,1421,29141,45616,37835,47133,12815,1354,3966,48031,48137,1855,46894,20766,26273,37744,11711
316,31751,23509,42827,40279,35654,33690,45517,34770,34526,23264,32082,48997,9962,17984,3854,30137,49094,5586,46507,4895,25525,9134,4202,1619,42996,9887,45951,20200,9559,24624
317,28637,5857,13557,23902,23056,36816,44759,30444,40680,44648,5054,29749,4225,20347,48765,44219,49631,18177,8938,33658,27770,23596,10531,29387,26655,26242,17347,8671,25394,30318
318,15392,39630,47227,11751,22862,15047,40512,41436,41068,29925,43313,29082,11022,42533,35653,36033,40745,18654,26858,30518,21234,14481,32758,2243,9458,21645,11531,21028,27954,34800
319,3667,18786,39689,18255,11606,7101,34689,41951,16674,40982,31523,16739,25795,10559,37561,13634,31930,26755,24201,28822,17620,18573,28697,44289,49918,2434,49785,27766,25170,21886
320,12980,27871,3881,21302,5813,37384,49663,1562,35304,34470,26455,31530,41696,15876,2256,26188,19119,30447,5873,3018,15101,5923,23502,14873,47967,39508,43467,30849,49607,9271
321,37735,5794,25932,42498,9658,40942,18917,28536,5142,46264,37297,30881,23042,7884,3248,22353,15164,9877,16814,1366,15797,39891,25750,8281,2568,32926,26018,12926,27453,46846
322,31819,16135,49824,39637,48070,12638,23209,39320,45003,6859,42954,4356,10432,33093,5123,36560,8026,13502,6641,41078,8174,46548,36003,33362,27103,37264,34209,26869,31864,37118
323,19758,45683,40630,28270,13074,48063,34098,39607,18462,38291,14178,27373,25474,45706,25836,47303,36180,35231,21526,40992,45989,20412,23440,27587,23965,48442,16311,25012,3059,32341
324,40914,36005,9127,35622,5785,44229,21236,25116,39172,39735,35786,3266,25981,43116,31748,39614,17332,32762,16768,20412,42445,35468,36238,39819,30858,14342,26729,43891,35971,48880
325,49734,46362,14048,36494,9000,30333,28267,20852,46991,44700,11945,45683,10741,13882,4561,19210,17640,29013,30733,48447,28758,29621,36615,18975,10309,3813,22667,13532,5477,49244
326,27128,48353,42739,33256,3183,23438,14520,43228,2896,33160,24629,25259,41916,39311,10876,4435,6374,36208,44924,41813,32332,23297,13331,12100,5615,35801,28445,18569,18557,46160
327,14892,35962,11967,47604,16658,43226,18657,10274,34835,8266,32215,20790,47288,47461,37503,9071,4328,3482,22002,43042,6181,26519,40211,24953,42521,38761,34579,30011,38607,15842
328,44754,46588,22345,34293,43755,2956,8145,48059,45166,18996,3739,17597,38751,40907,19100,35279,33261,31789,35169,6029,14851,8298,41660,27102,40605,18157,34005,4277,7674,30614
329,45107,17234,49675,7705,45420,21139,33780,21074,36086,39287,39877,33114,27806,30893,44179,35658,45728,32479,28894,35998,32043,1142,27176,35776,48835,44714,44799,30421,1613,8785
330,38719,49147,23978,43866,47703,12725,37885,5330,15328,25136,40322,3441,23072,40987,43397,9918,22118,22071,14991,20914,5576,31465,23916,39089,5543,1063,35777,48500,43564,3673
331,10363,24166,37838,8444,18454,24592,21543,42037,5824,17031,13758,42540,7933,29545,33279,22505,3880,10453,33072,17706,22577,21412,19590,38710,45677,8166,18997,22969,23419,37988
332,40641,2466,47830,17212,33675,35395,35242,10361,2930,46397,21445,37704,1364,40987,6173,21424,13091,11356,39734,33029,6034,12559,33368,26125,41625,41492,27383,40871,47674,23830
333,10774,13020,8162,40980,39743,36078,13994,37761,9907,34292,2325,44644,49654,13426,35914,44481,8052,31216,7843,43644,8558,16180,10403,37777,36460,40942,44670,25267,27190,26505
334,39605,15583,33189,46883,35330,22918,5684,28081,22220,42047,15794,17610,35791,34216,3123,19324,24514,11736,9573,22792,22957,44714,37762,47522,16450,34008,11724,46014,14644,29765
335,34543,23977,2935,41852,29807,24586,40846,43225,31890,10558,35449,38510,40920,20036,17740,39393,45985,26859,12558,26886,37158,38300,15508,31586,35705,44375,46967,2596,3909,16601
336,40664,40013,16729,11056,18118,17204,3411,43680,5058,38185,10431,5481,23810,21465,27502,36221,23331,49751,41537,40819,44134,19818,39531,28999,20275,4357,14752,3243,7790,32781
337,43929,2563,36545,43948,26358,33441,16756,16024,1182,12149,49053,35743,9828,33542,38472,39552,20759,14124,25924,8790,40142,16624,21164,49607,8298,29628,46027,18984,1648,36097
338,11363,10995,35651,16862,39973,42651,18886,41917,24756,7407,44877,3747,29639,42900,33542,39145,36046,33604,7655,33686,20472,13839,4472,33683,3092,15440,8389,18866,6132,40598
339,37876,49171,16452,38637,21637,25158,7186,45126,33372,28626,48125,13659,45659,25796,14557,2483,39587,8935,48682,14225,32722,22558,32804,4414,49527,12908,22893,27363,7786,7591
340,5641,16426,44881,6804,46783,47651,5341,7953,15779,34874,25309,24827,21403,16028,25723,33884,19776,17575,21247,40883,45759,9794,44124,9224,14761,10814,18736,36395,30426,6074
341,9473,19902,5748,25080,10522,5281,8628,22718,29743,28365,24897,17038,39956,46661,40288,34851,27809,2773,19735,17504,25773,5996,33895,4598,13227,48254,28577,31137,30040,18478
342,22596,42560,1181,35703,35267,25989,13407,20784,30294,15133,21986,8403,22415,42182,24989,47402,6100,28536,25743,3863,12448,20081,29684,17300,32153,3043,23768,26987,37914,41187
343,28165,18778,46336,44047,38605,8175,7681,9533,19355,11876,38305,4594,47775,7922,49180,6047,48593,29008,15861,25062,43973,18738,14585,6344,34100,34078,27845,28514,33322,40217
344,26214,26687,33667,2951,21657,24841,12421,17928,13639,11497,47063,41238,1677,30727,25113,26628,24691,23662,10671,16993,42154,21410,20936,34832,13752,4928,36890,31946,14276,34631
345,10815,35849,11795,42568,2309,22120,34613,5857,45560,13696,11922,32174,28331,23038,35997,23788,7951,48431,30743,35362,6496,4297,24228,2627,18756,41186,39152,8667,38244,15687
346,35360,36481,29682,25062,37694,28137,32953,21774,13880,18901,7251,30237,48684,21550,6218,44579,33814,17885,18027,28037,34671,46129,48748,37940,44928,48036,4356,49089,31387,23114
347,44885,6122,13885,7923,26207,28301,26288,1422,17096,39545,22299,28545,37135,4456,15575,40417,20871,20902,49190,31294,44067,12519,25376,16285,3367,25384,9520,14277,32913,7475
348,21237,41881,24107,42198,15018,2062,20945,46315,32215,2405,34462,16590,15655,16668,23678,9040,17402,43742,39521,44915,39077,3559,20369,43544,35381,7298,31663,26158,11930,37444
349,6443,45333,12852,44986,2425,32781,10634,9005,7086,9617,5438,26862,14619,9267,32161,33144,42903,1801,6610,19554,39065,3629,24201,39918,47679,38964,45186,31071,41534,10782
350,29045,34143,13908,8654,22195,27312,21072,22759,39615,20664,35723,35308,39975,1425,37873,9928,33948,6336,8375,20206,5459,7317,31368,9729,13479,47689,23311,24850,38871,16842
351,35836,13170,42321,19598,1530,1849,26480,46798,20773,30843,34633,30295,24323,45363,2419,14597,13517,26363,1417,23915,32132,34118,38936,39590,22033,9535,38482,49509,8544,15536
352,32704,37735,45148,13531,40430,49717,48587,25928,21075,16288,47880,26645,16822,23960,25237,32422,49357,34335,5594,17309,21203,47176,42693,43686,40655,17676,43499,4095,9334,14298
353,31182,49775,9600,3399,34811,21642,26169,26777,45474,44495,3342,21014,17067,34856,40299,12983,34699,13073,7239,48935,42793,30629,40625,4757,11262,1124,29958,38054,47527,37666
354,49595,47361,24129,3724,45955,24530,49648,23813,8387,44064,36068,23605,9752,24098,43943,28770,10887,28476,31183,35566,20312,31474,42657,49685,23065,3945,48796,31000,37718,49608
355,41680,46400,29615,12755,19587,29294,42696,38753,49981,34552,25389,32989,6922,30119,48231,35254,6553,24464,9919,39722,38311,48579,21565,12736,35346,37029,45329,4035,25770,7874
356,16883,6491,12900,41811,33525,24317,4924,4803,27171,44603,15188,28198,46334,49126,1791,28643,35319,25092,35840,2959,44221,24617,47159,32828,44194,11242,43026,9904,40672,43793
357,28946,44880,4180,24563,26723,46577,46816,11970,34908,7224,40470,30891,37118,33784,24733,25838,22422,5900,9945,31231,7682,44051,13341,1782,34942,12068,30025,32802,12984,45265
358,12134,2184,8966,28452,4069,8845,1380,22993,14862,13422,20771,32923,27530,29701,43406,23297,10022,38603,14876,30032,49021,40762,43806,38303,6622,17067,20491,9935,46071,48883
359,38264,44384,31022,16657,39434,13234,18390,16683,44802,4509,13513,30124,12709,32048,15943,24267,19167,25223,42502,11595,38113,18588,45734,41155,9352,20244,49838,20276,21349,44559
360,49030,8840,9644,11408,3569,29381,21894,4755,34796,28074,38921,7429,20268,10951,20809,25286,31159,36766,22836,9495,17034,14895,35611,3179,14411,17091,3835,5455,16149,31726
361,44020,39606,22710,7050,47716,3906,9158,35772,4576,37480,47778,41436,12899,48489,44104,17136,32279,35051,18438,33152,17923,31983,10875,21356,15139,2491,48740,49545,32812,27299
362,44975,26050,20068,29544,40664,19864,35372,13137,41562,25102,4856,34369,23235,24632,18932,12894,46386,2541,30533,47273,47834,45330,3746,44448,15570,31085,17696,25348,47757,33030
363,47500,25299,49480,10211,4842,11329,34871,1857,22573,17140,17092,11178,15729,14629,2301,5446,29623,43840,43281,4276,34688,31675,42914,6543,8453,26063,40003,2329,4146,30419
364,26279,7982,38937,26269,44423,1795,8335,46587,40239,4799,33373,27394,45178,40232,27821,29241,10985,14478,47579,21243,2114,39612,30045,49849,8710,11336,45256,23440,28714,2041
365,4403,35427,49704,21541,43437,46002,6269,26624,38587,4520,16756,45556,28935,43839,42333,10002,8890,3743,17112,13707,30082,47329,27478,12780,14379,16378,41392,40441,20399,18087
366,7171,18910,9179,1997,43833,38849,25969,23418,11668,12377,12000,30164,47914,45964,21574,48111,40280,33539,43662,46246,39823,6761,26938,48747,33743,32998,49802,41086,39814,23144
367,27431,46886,17192,20988,19892,30117,17207,22683,43467,43984,27380,27740,2949,27465,22073,39772,18739,6503,35311,10890,44108,37788,39572,32071,16989,23494,17673,48282,26903,7796
368,20926,25297,12561,33398,1514,43478,49824,20679,24704,42413,5231,4223,48320,20720,1678,33556,34825,32668,1384,41890,34928,49710,33380,29196,34311,17182,11532,24166,37576,1779
369,1121,41036,39190,5230,2895,8484,45974,37770,34887,1864,26151,2730,35322,28139,16686,6349,1538,26852,38988,41960,46912,47179,3427,8491,15439,2538,17954,25563,3236,14791
370,7326,49666,42014,36737,37358,26966,17691,20049,3182,35997,45629,25405,6561,7401,39360,8595,13871,36357,17378,27166,9450,25452,40669,7943,22399,45494,33745,25669,38039,7924
371,47884,9712,29540,22344,46382,25913,44053,19155,12429,42897,15852,1782,13885,3287,21344,44484,31724,27118,30652,20402,23841,3270,32785,23169,46389,40819,12882,24822,48918,39156
372,29193,39863,46387,11222,45658,18035,35282,9006,30449,28387,35530,29752,9420,24176,25079,33745,20109,25817,46314,36589,10141,40842,18700,38046,29054,45064,17187,4088,13165,20278
373,2321,27817,49182,32171,10089,21868,34976,42610,13107,20348,13506,37278,22691,4232,33725,44809,42798,35891,2474,15780,42621,10433,3931,9664,40078,15970,36666,10507,36449,43210
374,24762,31196,24726,36993,27243,19091,14604,45020,3250,27380,31782,1483,17180,35630,46927,37057,8916,15021,5819,9895,19694,47790,30607,11565,24877,14612,5321,42145,30924,49958
375,15171,9384,18904,13449,28026,21820,25349,18968,29453,4310,11178,18442,16211,34806,15344,2878,20666,19648,29420,44588,38051,23777,6539,10483,23393,37387,34920,7998,18551,30675
376,2964,41426,31555,37331,15121,48862,17213,28058,21740,25172,13518,38247,39611,34838,42171,36313,13424,24935,47201,42977,39737,33009,39470,19433,8217,4834,13324,5258,1815,43344
377,6054,16480,14573,3091,35303,46665,5954,42380,10370,43094,12877,40615,10129,17517,7175,41752,20291,23968,21389,19180,31227,38388,32603,13716,24557,6030,37272,11939,24328,33526
378,45476,36919,13083,40463,28518,33868,40491,12465,42023,18743,35277,45863,37910,22601,36998,41253,37865,24330,35150,24944,16455,30084,17755,42501,48581,18646,33664,29057,1843,24944
379,49461,29078,3071,10074,46876,46864,5971,46221,47699,19850,39330,20440,9256,26131,43349,12850,22191,19659,15807,43763,44941,16089,23325,28133,43840,24930,4136,44578,35445,4020
380,2762,38752,35754,37179,28124,43889,29243,5134,23010,28747,13322,27367,9515,26418,46332,20448,39857,16060,3578,48578,7012,23603,5695,38987,3830,17546,1023,48523,35523,46309
381,5876,39936,49138,3411,42285,32712,23919,21050,22549,48092,12703,43033,4937,9857,1522,20843,9088,8353,3300,1841,26336,29042,29716,14238,30897,47008,21555,9649,31361,31328
382,7423,6339,8545,36941,45015,44934,8071,13471,16550,44387,48094,16890,42429,30502,19700,7470,4270,3805,28060,22865,24637,2241,15716,38379,46318,25949,28419,18208,43147,36403
383,42914,1509,7004,7121,42163,7912,35538,26256,39165,19149,40080,12819,20189,2359,30732,22306,18627,24356,21789,42619,26509,20280,21518,31800,48357,35542,36895,12096,48113,22239
384,1838,26766,6888,36755,26670,16853,1590,7893,12584,12223,4179,32961,33318,17930,42479,41207,24869,5127,49391,41711,24396,29491,15912,24488,11334,23811,46284,27318,31635,20054
385,4381,49704,12590,21453,22686,49987,14056,18825,16978,7505,19004,4008,27019,16594,15755,31768,27603,23790,35281,35792,38754,47153,10249,7032,10644,5249,10687,32583,30155,44613
386,1288,5859,40993,22363,18994,3446,48273,16563,45354,46080,30451,40874,14257,36783,21617,2676,21819,32660,5397,21068,49923,34830,26228,41329,10841,9736,17266,16204,1782,20210
387,21574,34856,6588,43125,15031,24165,2403,48911,2029,29782,1806,9915,32300,4964,22659,41716,22455,27115,47149,45186,47612,43586,49434,35595,24587,26069,34215,26723,48029,14634
388,35517,35644,38384,28707,48958,48417,13356,41364,14932,27266,25597,40930,41890,36709,18952,23782,26581,38547,10455,5827,48070,6292,32959,21359,2552,28909,28421,1489,5908,25068
389,3512,6571,26698,4707,36990,21216,31655,29032,20842,37876,14497,40309,30268,30168,36275,25449,39881,48979,25825,9327,28977,40148,41306,7477,12790,24684,36806,39570,19025,31528
390,20912,16018,2319,40913,41429,45639,31697,5910,41866,49669,21817,7586,46882,29031,44427,39928,10515,45634,36444,24060,44031,3582,28678,8386,16865,24095,44168,42009,48113,38797
391,35019,6731,19057,27482,21783,5427,41206,9802,9259,16072,33018,18970,22921,16717,39223,28324,44554,1240,25215,21538,2992,38740,46326,38221,14643,6892,44783,30254,48614,38081
392,30025,20136,33902,37814,8337,41882,29690,39926,21729,45066,28387,9513,30511,8285,12940,31043,16226,4667,7436,36916,10662,35311,44327,2333,6960,12300,44675,21011,14263,20127
393,36475,27272,45408,19927,11199,35154,23742,38908,24549,25162,23245,6944,14291,16369,44925,20861,36583,49304,1607,23607,40106,30469,38149,20841,27241,49056,12639,10050,16061,1095
394,14767,18794,21654,10030,9108,17798,28402,17748,21877,25171,13424,27122,29551,26032,35352,8230,21166,36240,47921,21516,35367,16740,5186,36855,38963,21512,21153,26007,45527,39612
395,34613,22746,16406,30614,27853,28621,5230,25752,9045,13370,7488,45434,47982,44842,47874,6142,41479,25771,43780,9356,3250,6339,21672,9295,49966,47676,49955,41284,46178,13180
396,6290,17267,36599,19099,7220,22757,14018,24605,43560,23976,49478,49546,29478,12388,21676,1968,45249,48256,8502,44332,18283,10946,40242,19467,8911,13789,12687,45621,16602,26904
397,45330,26241,35919,14642,28892,35948,18188,2400,33722,42333,10260,20388,29190,2504,16263,2780,35737,4071,29663,27319,45588,23064,12863,7172,8688,2083,33156,48302,9061,10516
398,22808,9075,32935,1883,48228,13362,31546,33951,1060,16965,28545,26160,12022,45838,38518,30735,10083,19302,34290,30200,27886,35780,5321,48518,47429,28621,33957,14755,26390,34325
399,22072,20927,35738,3810,47767,14468,20779,14124,36873,17457,21627,13886,5169,41553,43029,38768,30912,45655,23344,41495,3593,4641,42342,24430,45501,40072,19124,36066,42818,8705
400,23578,3392,5654,10415,40074,1184,46489,23576,29398,30493,3298,40898,3250,12753,21065,16670,4488,44847,10556,1172,44685,17785,14897,7076,47553,20503,16216,45093,32256,17670
401,10299,15201,33723,6143,39359,35157,22335,36751,33678,43606,21398,35545,23795,49650,1941,22724,13983,38270,15767,5666,21840,29878,15812,32323,42357,7478,39658,3989,39992,41728
402,4659,21445,39356,49829,45200,2247,20353,19994,33253,25593,44485,47510,42251,48823,10862,40515,20042,26466,4112,25871,17864,14623,23853,27469,16944,7143,25529,24443,38821,42520
403,19260,10261,44888,9641,10309,23597,35743,16548,31122,6942,37410,1888,15595,20949,11592,31399,22637,31557,47109,36714,47756,33733,37906,16963,28094,47503,48117,41783,24826,44568
404,49918,16030,3069,21221,6042,14864,28116,3213,41928,3036,26129,38796,37796,45075,9967,25692,8380,35371,11510,45078,3624,29351,5375,9900,37985,49538,30466,6781,49087,14958
405,26532,10093,5632,28091,43163,45240,30164,36088,22090,34180,33101,10111,7044,34608,30220,23936,46956,25971,2148,5638,21643,11418,19909,4256,2748,45869,11508,25927,16507,37856
406,47865,42090,9201,34464,3282,14022,49232,47881,29539,44751,41590,34103,1992,28310,32770,2927,18857,26587,17557,28496,31018,25493,24688,1878,3816,10298,40791,19196,26899,17771
407,27208,14271,41093,25697,25706,21672,16257,12726,6738,42394,24778,11110,43603,41444,37005,15299,46629,18685,15014,2128,29466,21698,9692,22873,14444,34638,41380,26524,32127,46214
408,44946,20218,7628,23915,4832,37613,26602,12036,7616,42866,25748,39027,21934,40555,3604,23402,10047,3681,6592,26198,42162,15748,21735,46116,12851,33930,26201,26135,19850,31281
409,27643,7096,16511,25725,3465,6163,43641,26654,2090,27552,27673,20671,19433,35641,23771,13480,4764,44825,36918,28138,23414,2886,39265,33103,21173,40514,32798,28700,6317,27638
410,13644,5054,42311,24752,46797,3457,32491,8951,47376,23061,22566,14521,33525,4435,14709,23023,43622,35495,40851,46754,14995,46922,4345,23479,17754,28618,24645,36027,36866,8913
411,10387,30145,10729,40417,38747,10575,1035,43482,47350,22081,45476,1325,28816,4356,26675,38023,30050,39508,35391,41464,37977,23407,26128,47971,2926,32174,37375,21650,20283,25019
412,42339,46109,41413,22734,18982,27875,2625,36368,4703,41363,5088,8083,45876,3590,28895,4461,15551,47170,16450,19677,5893,38807,35698,34243,12461,27119,14421,42584,6727,2991
413,11012,25181,38565,20806,14116,49623,46343,6432,31485,21844,26194,8367,13746,1697,16787,38204,23819,14987,9128,24784,2221,6637,33100,7615,9061,39286,24458,1156,28853,5920
414,27776,38980,34231,22007,33063,37061,14291,35453,18653,4179,38734,3533,26628,48743,4787,48657,41462,44635,47067,4125,32001,20756,30097,22189,2024,43240,1250,42686,47149,16480
415,24200,19146,41882,36700,40998,21091,1206,39822,23612,43917,16757,21663,22774,31284,37431,46400,19772,19871,22243,11320,16576,17588,43641,47361,22608,38299,46436,14588,14394,36510
416,13993,15145,30876,31960,13733,31676,41780,41778,19065,26532,2863,18515,40587,3904,43154,27289,40106,23555,30506,16239,6422,20482,28006,34156,45831,44028,35203,44392,5150,28294
417,45733,46519,9523,34771,22753,19828,35449,26366,41234,16121,42657,14808,18747,36829,48923,26455,9390,35861,7334,39857,30664,25593,12881,24258,12205,24602,19381,41702,37101,2098
418,47738,12804,37048,46081,35288,30635,30463,12559,15222,6967,17363,7326,44938,15239,10281,9535,31912,4479,28400,47305,48874,14986,18925,4514,19364,22427,19359,25709,28931,17717
419,34983,32113,1125,9880,41806,8981,43177,21119,11143,40902,25278,33092,32394,47469,38226,45290,36361,15823,20987,2967,25249,10784,42102,1272,24293,28208,17290,10503,15460,4263
420,12398,23357,43750,1675,37298,17203,15269,2809,8095,17056,44525,1544,14662,36773,31692,39747,44566,11631,24611,41370,5613,5698,8598,45357,40002,20108,19525,27626,29872,30120
421,31344,22440,21853,17478,9980,13828,8479,16902,42172,11037,25745,42706,6246,27809,1984,40902,31358,27160,20064,1708,9872,38942,28822,30493,16397,38849,42222,28681,23562,21271
422,32088,19469,41401,46164,11831,1923,13455,27966,1937,16665,40833,24565,33851,49869,9734,29024,35573,17373,33382,17299,25897,33917,16244,48181,30718,10007,49506,14350,44669,3270
423,46996,24817,32641,40739,41309,45475,21597,13000,34943,1473,11571,14259,3469,8293,44302,42337,8091,11810,32214,7065,13787,29528,22505,32262,45649,26184,35799,43426,12529,3684
424,36803,37989,40311,34474,2504,34146,9876,18580,17514,14445,17789,16660,34849,26182,18393,9573,16790,44053,20311,8410,3299,16536,16853,18318,12944,31032,6728,42376,29365,8646
425,3143,14999,15793,46709,4056,15300,23781,28196,31386,25665,12935,19534,29148,13140,27510,6957,5233,42599,23379,14372,18026,11776,6044,25742,47812,44163,18527,29855,18026,29638
426,35062,16469,47569,21972,48757,42501,37705,25110,1919,7810,16439,34523,47732,44337,32665,2633,13851,5011,31036,15725,35798,26149,39733,27492,26507,37752,15081,17232,7052,26639
427,37099,32883,34522,21293,37563,10758,12410,46943,27829,34080,14923,11030,49781,45688,7200,21345,15251,40682,17791,2546,28780,2761,32346,13724,19162,2247,30835,13282,41740,21982
428,4839,38502,42821,49087,8293,13683,37201,18593,13805,11399,10199,40200,40952,42099,18241,28688,45084,17137,7476,18228,33063,16419,29170,9627,22007,28669,24151,6836,15552,32860
429,32945,4983,15534,15380,33567,2614,25691,30373,34914,10298,43962,22123,31170,5606,1870,49578,32658,18663,42792,22880,40686,9025,8389,26052,30368,10167,22626,16781,16554,42532
430,48469,41489,43125,3488,47359,30948,3084,17515,24588,47064,29562,28544,41037,21624,32661,5523,32936,40450,24180,22343,32592,33923,25374,17128,30814,39543,13379,24258,42796,18805
431,38256,47312,11671,26006,39531,1840,37359,36724,37193,18153,39610,43524,33895,29550,23191,8011,25378,45138,11810,35090,15278,39171,21008,41666,13885,29814,32276,30859,29847,13618
432,32080,31768,19251,9007,36645,33793,18524,25916,23578,48675,10702,38938,29212,47198,43813,2119,4324,27177,24831,11893,12791,8711,23521,16087,11824,32762,42800,29443,25433,8410
433,46910,27353,39876,32518,46425,10069,1154,13841,32225,44373,17917,16250,43766,33104,8521,33285,40619,44615,42466,31979,6022,24460,32951,3055,2316,1445,16711,30115,49343,21917
434,21017,26746,9754,28079,4804,33293,17792,8875,28282,46300,19004,48518,36130,23725,1915,42376,32126,37625,40333,1996,23552,1347,25041,5822,36436,49705,39746,35080,30891,10783
435,49401,21380,17654,35956,6564,26532,1383,5902,24747,42811,19087,48693,48838,32297,30910,15067,23719,29095,37342,45135,22156,31949,2943,22490,31083,18502,17627,44401,29082,25825
436,5169,44505,45378,41410,2820,26755,41123,35661,1629,9933,22826,32380,23854,30842,35892,37835,1565,44068,36327,24939,46250,7421,46858,22371,10338,41351,25267,10218,18014,30222
437,39407,25410,4635,7743,28242,18971,26448,49511,23438,42554,12035,26319,41766,18996,17896,40552,47968,40975,29517,23541,14830,2871,26974,17028,24541,3878,1676,29716,39158,14978
438,25729,22377,40320,25528,17242,41700,24655,6310,9318,16451,23727,23162,32718,39562,33379,37844,16890,45900,24315,36862,36547,5500,6005,33006,29334,41667,3738,46280,28043,1156
439,20636,45859,5252,27358,22782,18597,38442,37192,47096,28764,37986,39075,43586,15859,49820,46839,22717,26182,46876,38567,29024,3972,3297,2143,44258,46035,19305,38092,18617,26691
440,22918,11148,6522,32356,47262,18331,17451,46880,45726,9522,47184,30580,32605,7494,28748,21804,32008,3013,11144,31325,41969,39892,47759,14408,45722,22170,15716,9939,25070,43072
441,21487,27600,8440,6998,25515,25484,7867,10416,39377,10830,8246,15615,9555,27856,39189,17081,9016,23326,19124,4616,1641,1459,35939,22895,15051,39035,1917,14664,49910,5625
442,40178,35065,36774,22512,38196,37945,42521,38246,24819,9178,4191,27751,17929,20703,19559,27062,47676,5813,19396,48826,28316,7669,10510,7302,2645,26290,21101,44960,22742,28587
443,6725,47235,9648,26471,23084,39807,20481,24349,23044,4255,46038,1274,10469,26531,6613,49784,3587,6296,15343,11343,34653,32976,25437,21637,5126,16228,29435,3846,2283,49325
444,35216,12556,30149,4529,36749,17857,28860,16205,5224,32423,15980,40119,12194,29539,8484,17167,35311,17968,17911,27701,4572,21203,18624,1297,47368,17713,15717,31541,35151,15000
445,46566,42001,27234,33206,25031,26476,48823,30754,6411,8039,49723,1846,33080,13227,28816,16709,35621,2725,36364,46616,25019,9442,11485,41303,32355,23030,18811,1515,39484,41186
446,49876,46572,34886,25683,11816,14116,41598,24245,34829,48173,7161,48552,38262,23656,19942,14904,20736,22123,41582,24792,9322,44039,38017,17225,32681,14362,7697,25052,18853,32310
447,4098,15992,47261,33751,3115,1941,26891,37064,38262,41206,26318,48791,48959,45118,13318,31557,17761,36309,7109,22670,20879,47595,47305,8158,32107,23057,42829,22148,1264,22390
448,34752,14653,2173,28658,18484,6445,45340,23661,45248,5717,1546,38973,31977,28267,33108,5904,26872,40403,23772,18705,40956,14451,11465,40017,39833,23007,2712,19498,37528,27889
449,10608,47743,36076,48930,21858,25246,13293,32556,44017,39331,22624,25099,25125,13429,22916,39466,44722,23889,36059,15933,11718,34948,9124,47018,8012,9160,27540,31457,33269,29137
